Key,Player,Time,Opp,Price,LW_Price,Change,Name,Team,Pos
Isiah Pacheco-KC,Isiah Pacheco (KC - RB) ,Sun 4:25PM,BUF,5700,5600,100,Isiah Pacheco,KC,RB
Zay Jones-JAX,Zay Jones (JAC - WR) ,Sun 1:00PM,@IND,5600,5700,-100,Zay Jones,JAX,WR
Samaje Perine-CIN,Samaje Perine (CIN - RB) ,Sun 1:00PM,@NO,5600,5200,400,Samaje Perine,CIN,RB
Darrel Williams-ARI,Darrel Williams (ARI - RB) ,Sun 4:05PM,@SEA,5600,5000,600,Darrel Williams,ARI,RB
Russell Gage-TB,Russell Gage (TB - WR) ,Sun 1:00PM,@PIT,5600,6200,-600,Russell Gage,TB,WR
Matt Breida-NYG,Matt Breida (NYG - RB) ,Sun 1:00PM,BAL,5600,4900,700,Matt Breida,NYG,RB
Mike Boone-DEN,Mike Boone (DEN - RB) ,Mon 8:15PM,@LAC,5600,5600,0,Mike Boone,DEN,RB
Darius Slayton-NYG,Darius Slayton (NYG - WR) ,Sun 1:00PM,BAL,5600,5100,500,Darius Slayton,NYG,WR
Marquez Callaway-NO,Marquez Callaway (NO - WR) ,Sun 1:00PM,CIN,5600,5100,500,Marquez Callaway,NO,WR
Mecole Hardman-KC,Mecole Hardman (KC - WR) ,Sun 4:25PM,BUF,5600,5400,200,Mecole Hardman,KC,WR
Deon Jackson-IND,Deon Jackson (IND - RB) ,Sun 1:00PM,JAC,5600,5500,100,Deon Jackson,IND,RB
Rondale Moore-ARI,Rondale Moore (ARI - WR) ,Sun 4:05PM,@SEA,5600,5200,400,Rondale Moore,ARI,WR
Julio Jones-TB,Julio Jones (TB - WR) ,Sun 1:00PM,@PIT,5500,5700,-200,Julio Jones,TB,WR
Marvin Jones-JAX,Marvin Jones Jr. (JAC - WR) ,Sun 1:00PM,@IND,5500,5200,300,Marvin Jones,JAX,WR
Damien Williams-ATL,Damien Williams (ATL - RB) ,Sun 1:00PM,SF,5500,4600,900,Damien Williams,ATL,RB
Jarvis Landry-NO,Jarvis Landry (NO - WR) ,Sun 1:00PM,CIN,5500,5500,0,Jarvis Landry,NO,WR
DeVante Parker-NE,DeVante Parker (NE - WR) ,Sun 1:00PM,@CLE,5500,5700,-200,DeVante Parker,NE,WR
Gus Edwards-BAL,Gus Edwards (BAL - RB) ,Sun 1:00PM,@NYG,5500,5000,500,Gus Edwards,BAL,RB
Jerick McKinnon-KC,Jerick McKinnon (KC - RB) ,Sun 4:25PM,BUF,5500,4800,700,Jerick McKinnon,KC,RB
Nyheim Hines-IND,Nyheim Hines (IND - RB) ,Sun 1:00PM,JAC,5500,6300,-800,Nyheim Hines,IND,RB
Ben Skowronek-LAR,Ben Skowronek (LAR - WR) ,Sun 4:05PM,CAR,5500,5300,200,Ben Skowronek,LAR,WR
Justice Hill-BAL,Justice Hill (BAL - RB) ,Sun 1:00PM,@NYG,5500,5300,200,Justice Hill,BAL,RB
Chase Claypool-PIT,Chase Claypool (PIT - WR) ,Sun 1:00PM,TB,5500,5600,-100,Chase Claypool,PIT,WR
Kyle Pitts-ATL,Kyle Pitts (ATL - TE) ,Sun 1:00PM,SF,5500,5600,-100,Kyle Pitts,ATL,TE
Joshua Palmer-LAC,Joshua Palmer (LAC - WR) ,Mon 8:15PM,DEN,5500,5500,0,Joshua Palmer,LAC,WR
Caleb Huntley-ATL,Caleb Huntley (ATL - RB) ,Sun 1:00PM,SF,5500,5600,-100,Caleb Huntley,ATL,RB
Brian Robinson-WAS,Brian Robinson Jr. (WAS - RB) ,Thu 8:15PM,@CHI,5500,5500,0,Brian Robinson,WAS,RB
Donovan Peoples-Jones-CLE,Donovan Peoples-Jones (CLE - WR) ,Sun 1:00PM,NE,5500,5400,100,Donovan Peoples-Jones,CLE,WR
Javonte Williams-DEN,Javonte Williams (DEN - RB) ,Mon 8:15PM,@LAC,5500,5500,0,Javonte Williams,DEN,RB
Romeo Doubs-GB,Romeo Doubs (GB - WR) ,Sun 1:00PM,NYJ,5500,5700,-200,Romeo Doubs,GB,WR
Jaylen Warren-PIT,Jaylen Warren (PIT - RB) ,Sun 1:00PM,TB,5400,4900,500,Jaylen Warren,PIT,RB
Allen Robinson-LAR,Allen Robinson II (LAR - WR) ,Sun 4:05PM,CAR,5400,5700,-300,Allen Robinson,LAR,WR
Nelson Agholor-NE,Nelson Agholor (NE - WR) ,Sun 1:00PM,@CLE,5400,5500,-100,Nelson Agholor,NE,WR
Demarcus Robinson-BAL,Demarcus Robinson (BAL - WR) ,Sun 1:00PM,@NYG,5400,5000,400,Demarcus Robinson,BAL,WR
Phillip Lindsay-IND,Phillip Lindsay (IND - RB) ,Sun 1:00PM,JAC,5400,5400,0,Phillip Lindsay,IND,RB
Noah Brown-DAL,Noah Brown (DAL - WR) ,Sun 8:20PM,@PHI,5400,5400,0,Noah Brown,DAL,WR
Khalil Shakir-BUF,Khalil Shakir (BUF - WR) ,Sun 4:25PM,@KC,5400,5000,400,Khalil Shakir,BUF,WR
A.J. Green-ARI,A.J. Green (ARI - WR) ,Sun 4:05PM,@SEA,5300,5100,200,A.J. Green,ARI,WR
Robbie Anderson-CAR,Robbie Anderson (CAR - WR) ,Sun 4:05PM,@LAR,5300,5500,-200,Robbie Anderson,CAR,WR
Richie James-NYG,Richie James Jr. (NYG - WR) ,Sun 1:00PM,BAL,5300,5700,-400,Richie James,NYG,WR
Sony Michel-LAC,Sony Michel (LAC - RB) ,Mon 8:15PM,DEN,5300,5300,0,Sony Michel,LAC,RB
Tre'Quan Smith-NO,Tre'Quan Smith (NO - WR) ,Sun 1:00PM,CIN,5300,4900,400,Tre'Quan Smith,NO,WR
K.J. Osborn-MIN,K.J. Osborn (MIN - WR) ,Sun 1:00PM,@MIA,5300,5200,100,K.J. Osborn,MIN,WR
Olamide Zaccheaus-ATL,Olamide Zaccheaus (ATL - WR) ,Sun 1:00PM,SF,5300,5300,0,Olamide Zaccheaus,ATL,WR
Avery Williams-ATL,Avery Williams (ATL - RB) ,Sun 1:00PM,SF,5300,4800,500,Avery Williams,ATL,RB
Alexander Mattison-MIN,Alexander Mattison (MIN - RB) ,Sun 1:00PM,@MIA,5300,7300,-2000,Alexander Mattison,MIN,RB
Chase Edmonds-MIA,Chase Edmonds (MIA - RB) ,Sun 1:00PM,MIN,5300,5700,-400,Chase Edmonds,MIA,RB
Pat Freiermuth-PIT,Pat Freiermuth (PIT - TE) ,Sun 1:00PM,TB,5300,5800,-500,Pat Freiermuth,PIT,TE
DeeJay Dallas-SEA,DeeJay Dallas (SEA - RB) ,Sun 4:05PM,ARI,5300,4700,600,DeeJay Dallas,SEA,RB
Rachaad White-TB,Rachaad White (TB - RB) ,Sun 1:00PM,@PIT,5200,5800,-600,Rachaad White,TB,RB
Logan Thomas-WAS,Logan Thomas (WAS - TE) ,Thu 8:15PM,@CHI,5200,5200,0,Logan Thomas,WAS,TE
Kenyan Drake-BAL,Kenyan Drake (BAL - RB) ,Sun 1:00PM,@NYG,5200,4600,600,Kenyan Drake,BAL,RB
Evan Engram-JAX,Evan Engram (JAC - TE) ,Sun 1:00PM,@IND,5200,4900,300,Evan Engram,JAX,TE
Equanimeous St. Brown-CHI,Equanimeous St. Brown (CHI - WR) ,Thu 8:15PM,WAS,5200,5200,0,Equanimeous St. Brown,CHI,WR
